location_name,year_id,sex,age_group,mean,lower,upper,measure
Burundi,2019,Female,0 to 14,1151737,559338,1815884,Number of people with BLLs >5 ug/dL
Comoros,2019,Male,0 to 14,16798,7632,32451,Number of people with BLLs >5 ug/dL
Comoros,2019,Female,0 to 14,13926,6105,27319,Number of people with BLLs >5 ug/dL
Djibouti,2019,Male,0 to 14,32439,14734,63124,Number of people with BLLs >5 ug/dL
Djibouti,2019,Female,0 to 14,18829,8406,36448,Number of people with BLLs >5 ug/dL
Eritrea,2019,Male,0 to 14,223156,101342,429399,Number of people with BLLs >5 ug/dL
Eritrea,2019,Female,0 to 14,200158,91008,382658,Number of people with BLLs >5 ug/dL
Ethiopia,2019,Male,0 to 14,8781326,4062996,13999012,Number of people with BLLs >5 ug/dL
Ethiopia,2019,Female,0 to 14,6656890,3107399,11587454,Number of people with BLLs >5 ug/dL
Kenya,2019,Male,0 to 14,1385686,1015761,1860323,Number of people with BLLs >5 ug/dL
Kenya,2019,Female,0 to 14,1005114,729061,1369812,Number of people with BLLs >5 ug/dL
